Text,Text_English,Klasifikasi_NLP,Klasifikasi_NaiveBayes
proyek menghidupkan orang mati china,project of raising the dead china,Negatif,Netral
seragam bupati jember barang bukti korupsi honor covid-19,jember regent uniform as evidence of corruption honor covid-1',Netral,Netral
kemenkes laporkan kasus covid-19 varian xbb kasus indonesia,ministry of health reports case of covid-1' variant xbb case in indonesia,Netral,Netral
menteri bumn mengajak semua pihak untuk  membangkitkan pariwisata nasional masa transisi pemulihan covid-19 kolaborasi membangun pariwisata indonesia komitmen beberapa stakeholders garuda travel agent masyarakat,the minister of state-owned enterprises invites all parties to revive national tourism during the covid-1' recovery transition period collaboration to build indonesian tourism the commitment of several stakeholders garuda travel agent commun,Netral,Netral
nenek saya  juga  pas meninggal bicara  katanya liat anaknya sudah  meninggal nyamperin dia terus  beberapa hari kemudian meninggal gara gara covid,"when my grandmother also died, she said when she saw her child had died, she came to her and then a few days later she died because of covid",Negatif,Negatif
kantor ramai  covid lagi  tbtb orang  kena,the office is busy with covid again tbtb people get it,Positif,Positif
lorong haji taib lorong haji taib fokus penyampaian maklumat panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19 tips penjagaan kendiri rumah pesakit covid-19 influenza hebahan keluar mengundi pru-15 hfmd,"taib hajj lane taib hajj lane focus on providing information, flood safety guide, the importance of covid-1' vaccine booster doses, self-care tips at home for covid-1' influenza patients, voter turnout campaign for pru-15 hfmd",Netral,Netral
gelombang covid-19 teruskan penjarakan sosial pakailah pelitup keselamatan diri,wave of covid-1' continue social distancing wear personal safety cov,Positif,Positif
kira-kira semua pasien pernah terpapar covid kira-kira semua pasien mendapatkan tindakan medis sama,"approximately all patients have been exposed to covid, approximately all patients receive the same medical treat",Negatif,Netral
tahun covid-19tahun invasi militer rusia ukraina,year of covid-1'year of military invasion of russia ukrain,Negatif,Netral
cuti bersama natal tahun ditiadakan covid-19cuti bersama natal tahun ditiadakan invasi militer rusia ukraina,christmas holiday year abolished covid-1' christmas holiday year abolished russia military invasion ukrain,Negatif,Netral
sebuah tragedi dunia bulan oktober awal oktober hingga akhir oktober diawali indonesia korea berakhir india bukan karena  covid karena  kerumunan lebih baik november hindari kerumunan dulu,a world tragedy in october early october to late october starting indonesia korea ending india not because of covid because crowds better november avoid crowds first,Positif,Positif
hai saya  baru first time tekene covid teramatlah sakit,"hi, this is the first time i have signed up for covid, it really hurt",Positif,Positif
jalan mega kecil jalan sekutu fokus penyampaian maklumat panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19 tips penjagaan kendiri rumah pesakit covid-19 influenza hebahan keluar mengundi pru-15 hfmd,"small mega road, allied road, focus on delivering information, flood safety guide, the importance of covid-1' vaccine booster doses, self-care tips, covid-1' influenza patients' homes, publicizing vote-out pru-15 hfmd",Negatif,Netral
makin lama korang sedar tak populasi dunia makin berkurang covid indonesia korea baru-baru ini  jambatan dekat india punya tragedi orang,the longer you realize the world's population is decreasing covid indonesia korea recently the bridge near india has people's tragedi,Positif,Positif
saya ingat pupus doh covid sbb lamo tak dengar  sekali munculkan diri pulok,i remember that covid died because i haven't heard of pulok appearing for a long tim,Negatif,Negatif
cekizenpandemi belum usai terdapat varian covid baru telah terdeteksi indonesia waspada berikut fakta-fakta mengenai varian covid xbb perlu kamu ketahui,"checking the zenpandemic is not over, there is a new variant of covid that has been detected, indonesia, be vigilant, here are the facts about the variant of covid xbb, you need to know",Positif,Positif
warga lampung bangkit pemprov lampung tekan angka pengangguran usai pandemi covid-19 meredaabidzar instagram esti kinasih,lampung residents rise up lampung provincial government suppresses unemployment after the covid-1' pandemic subsides abidzar instagram esti kinasih,Netral,Netral
covid selesai  populasi tetap terkikis kenapa  dengan ,covid is over the population is still eroding why with,Netral,Netral
kasus covid-19 kabupaten asmat meningkat,covid-1' cases in asmat district have increas,Netral,Netral
tips penjagaan kendiri rumah pesakit covid-19 influenza hebahan keluar mengundi pru-15 hfmd pencegahan demam denggi,"tips for self-care at home for covid-1' influenza patients, campaigning to get out to vote pru-15 hfmd prevention of dengue fev",Netral,Netral
ppa presint -12b blok b2 ppa presint -12b blok c1 ppa presint -12b blok c2 ppa presint -12b blok c3 jalan p15 jalan diplomatik fokus penyampaian maklumat panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19,ppa precinct -12b block b2 ppa precinct -12b block c1 ppa precinct -12b block c2 ppa precinct -12b block c' road p15 diplomatic road focus on providing flood safety guide information importance of covid-1' vaccine booster dos,Netral,Netral
kebijakan covid-19 data ekonomi china melemahkan harga minyak via analysis,china's covid-1' economic data policy weakens oil prices via analysi,Positif,Netral
one thing dont like about covid os batuk kering ini  allah seksa,one thing don't like about covid os dry cough is allah tortur,Negatif,Negatif
sebaliknya jangan  mentang2 anda merasa sakit terus dipukul rata saja  pertama ngetwit kan sudah  langsung ngait2in sama long covid padahal korsel rate vaksinasi covid sudah  tinggi juga  tidak  dikait2in dengan  vaksin covid,"conversely, don't be afraid that you feel sick and then you get hit just the first time you tweet, it's directly related to long covid, even though the carousel's covid vaccination rate is already high and it's not related to the covid vaccin",Negatif,Negatif
covid-19 varian xbb telah masuk malaysia ditemukan empatkasus,the covid-1' variant of xbb has entered malaysia and four cases have been found,Netral,Netral
covid-19 varian xbb telah masuk malaysia ditemukan empatkasus,the covid-1' variant of xbb has entered malaysia and four cases have been found,Netral,Netral
depa cakap kena pakai mask balik while saya rilek ja memang dok pakai double mask covid ini  bukannya hilang lagipun awak anak ambek mudah itu ,"you said you have to wear a mask again while i'm relaxing, it's true that wearing a double mask, this covid won't go away anyway, you're an easily angry child",Negatif,Negatif
jokowi visioner bermental pengusaha risk taker sangat terukur kalkulasi atas kertas waktu awal covid kaum kamu  teriak2 lockdown tapi  jokowi pilih psbb ppkm sukses btw mainan hoax ijazah jokowi udahan segitu saja  kemampuan kamu ,"jokowi is visionary, has the mentality of being an entrepreneur, a risk taker is very measurable. calculations on paper at the start of covid, your people shouted lockdown, but jokowi chose psbb ppkm.",Positif,Positif
pedagang pasar cihapit mulai beralih iklim digital lebih tahan banting pandemi covid-19 terbukti geliat ekonomi terus berputar bahkan lebih jauh,"cihapit market traders are starting to switch to the digital climate, which is more resilient. the covid-1' pandemic has proven to be stretched, the economy continues to spin even furth",Positif,Positif
iya samaaa saya tidak  dibolehin gara masi covid waktu,"yes, i'm not allowed because of covid tim",Netral,Netral
sumpah semenjak kena covid itu  tenggorokan kek sensitif sangat  anjrit padahal kalau  pikir saya jarang minum es,"i swear that since i got covid, my throat is very sensitive, it's sore, even though if i think about it, i rarely drink ic",Positif,Negatif
cegah penularan covid-19 ayo tuntaskan vaksinasi booster covid-19,prevent the transmission of covid-1' let's complete the covid-1' booster vaccin,Positif,Netral
film mirip  dulu jelas2 kita dulu tertipu indonesia kita covid-19 tidak  jatuh kejang2 terus  mati,"films similar to the past, clearly we were deceived by indonesia, we didn't fall into convulsions and then died with covid-1'",Negatif,Positif
tempatku buanyak sekali  batuk kering ataupun berdahak tempat kalian tidak  curiga covid,where i have lots of dry coughs or phlegm where you don't suspect covid,Negatif,Netral
pengunjung disney resort shanghai tidak bisa keluar wahana hasil negatif covid-19,disney resort shanghai visitors can't get out of the rides negative result of covid-1',Negatif,Netral
kementerian kesehatan kemenkes menargetkan implementasi platform saling pengakuan sertifikat kesehatan digital negara-negara g20 terjadi kuartal kesepakatan memungkinkan bukti vaksinasi covid-19 digital mudah terverifikasi negara-negara g20 semua,the ministry of health the ministry of health targets the implementation of the mutual recognition platform of digital health certificates of g20 countries the quarter of the agreement allows digital covid-1' vaccination proof to be easily verified g20 countries al,Positif,Netral
saya menyesal terlanjur vaksin selesai vaksin masih kena covid,"i regret that the vaccine has finished, the vaccine is still getting covid",Netral,Netral
anggota polsek sidareja melaksanakan ops yustisi masker pencegahan covid,members of the sidareja police carry out the ops yustisi mask for covid prevent,Netral,Netral
covid-19 varian xbb telah masuk malaysia ditemukan empat kasus,the covid-1' variant of xbb has entered malaysia and four cases have been found,Netral,Netral
anggota polsek sidareja melaksanakan ops yustisi masker pencegahan covid,members of the sidareja police carry out the ops yustisi mask for covid prevent,Netral,Netral
puan euforia kerumuman massa pasca-covid harus perhatian,ladies euphoria after the post-covid mass crowd must pay attent,Netral,Netral
anggota polsek sidareja melaksanakan ops yustisi masker pencegahan covid,members of the sidareja police carry out the ops yustisi mask for covid prevent,Netral,Netral
hmmm positive covid again and kalini rsa macam  dipersalahkan gila2 but its not like can control it,hmmm positive covid again and this time it feels like being blamed like crazy but its not like it can control it,Negatif,Negatif
anggota polsek sidareja melaksanakan ops yustisi masker pencegahan covid,members of the sidareja police carry out the ops yustisi mask for covid prevent,Netral,Netral
kejadiannya mirip  pembangunan rs daerah provinsi ntt apa ntbaku lupa tepatnya juga  nyinyirin padahal daerah tersebut mau rs gede harus kota sebelahnya beritanya resmiin pak terawan pas awal covid kejadiannya,"what happened was similar to the construction of a hospital in the province of ntt or what, i forgot to mention the exact details even though the area wanted a big hospital, the news had to be made official, mr. terawan at the start of the covid incid",Positif,Positif
covid matame lpm,covid matame lpm,Netral,Netral
covid-19 kapitalisme teori konspirasi lewat,covid-1' capitalism conspiracy theory pass,Netral,Netral
berawal pernah menjadi penyitas covid merasakan menerima kebaikan tetangganya anggota spkt polresta cirebon rutin -,"starting from being a covid survivor, he felt receiving the kindness of his neighbors, members of the cirebon police spkt routinely -",Netral,Netral
bodo sial macam  gini kena covid,stupid shit like this got covid,Negatif,Netral
mudarat pergi luar negara turki masa covid balik tak kuarantin,it's harmful to go abroad in turkey during covid and return without quarantin,Netral,Positif
tahun pertahankan sebabkan lalai sikit je pertahanan saya rebah positive covid damnn,"years of defending because i was a little negligent, my defense collapsed positive covid damn",Positif,Positif
khawatir covid-19 pengunjung terjebak disneylandshanghai,worried about covid-1' visitors getting stuck in disneylandshanghai,Netral,Netral
pasien covid-19 sembuh indonesia naik orang per okt,covid-1' patients recovering in indonesia increase in people per oct,Netral,Netral
pasien covid meninggal indonesia bertambah orang per okt,"covid-1' patients die in indonesia, an increase in people per oct",Netral,Netral
orang inodnesia telah divaksin covid-19 dosis per okt,indonesian people have been vaccinated against covid-1' doses as of oct,Netral,Netral
wow thanks for doing this saya berharap tahun penyakit anxietyku sudah  sembuh bisa lebih yakin sayang diriku sendiri bisa lebih banyak baca novel travelling bisa meluk ponakan2 sudah  tahun terpisah covid amin ,"wow, thanks for doing this, i hope that my year of anxiety has been cured. i can be more confident that i love myself. i can read more traveling novels.",Positif,Positif
pemerintah pantau suspek covid-19 periksa spesimen per okt,the government is monitoring suspected covid-1' checking specimens as of oct,Netral,Netral
semoga pasien covid-19 diberikan sekembuhan hari amin ,"i hope that the covid-1' patient will be given recovery today, amen",Netral,Netral
bila janji lapor keuntungan formulae tidak  terbukti bohong gakbilang buat lab covid tak bohong tidak  buat pabrik minyak goreng tapi  tak bohong tidak  bangun ratusan ribu rumah dp hanya terbangun kurang ribu  bohong tidak ,"if the promise to report the benefits of the formula is not proven to be a lie, don't say for the covid lab, don't lie, don't make a cooking oil factory, but don't lie, don't build hundreds of thousands of houses, dp only build less than a thousand, you're lying, no",Negatif,Positif
menkeu sri mulyani pandemi covid-19 kondisi geopolitik ancaman resesi menjadi tantangan ekonomi domestik,minister of finance sri mulyani the covid-1' pandemic geopolitical conditions the threat of recession is a challenge to the domestic economi,Netral,Netral
puncak covid-19 omicron xbb prediksi januari,peak of covid-1' omicron xbb predictions for januari,Netral,Netral
tetangga ku malah covid juga  meninggal mendadakbangun subuh mengingatkan  istrinya masak lanjut tidur tidak  bangun2 orangnya tidak  sakit sehat2 ajaada tetanggaku pagi hari masih sawah jam sore sudah  meninggal covid blok,"my neighbor even had covid, he also died suddenly, woke up at dawn, reminded his wife to cook, continued to sleep, didn't wake up, the people weren't sick, my neighbors were still in the fields in the morning, they died in the afternoon.",Negatif,Negatif
kemenkes warga ri sduah divaksinasi covid-19 dosis kedua,the ministry of health of the republic of indonesia has vaccinated the second dose of covid-1',Netral,Netral
kemenkes warga ri divaksinasi covid-19 dosis pertama,indonesian ministry of health vaccinated the first dose of covid-1',Positif,Netral
kemenkes infeksi covid-19 varian xbb indonesia menjadi kasus,ministry of health infection of the indonesian xbb variant of covid-1' has become a cas,Netral,Netral
pas covid lagi  tinggi,when covid is high,Positif,Netral
malaysia temukan empat kasus covid-19 subvarian omicron xbb,malaysia finds four cases of covid-1' subvariant omicron xbb,Netral,Netral
setelah covid bunuh banyak  orang  seakan alam belum  selesai ratusan orang  mulai mati dengan  berbagai kejadian kanjuruhan itaewon sekarang ,after covid killed many people as if nature had not finished hundreds of people started to die with various incidents right now itaewon,Positif,Positif
kasus covid-19 meningkat malaysia anjurkan pemakaian masker,"covid-1' cases are increasing, malaysia recommends wearing mask",Netral,Netral
punithan dijatuhi hukuman mati mei orang pertama dijatuhkan hukuman semasa pandemik covid-19 melalui pembicaraan jarak jauh //,punithan sentenced to death may first person sentenced during the covid-1' pandemic via teleconference //,Positif,Positif
billi khuwab mai chichre isi brazil sadar ko covid tim tune kan  se milaya or allah ne tujhe kutto wala zalil kia,billi khuwab mai chichre isi brazil sadar ko covid tim tune kan se milaya or allah ne tujhe kutto wala zalil kia,Netral,Netral
kadang  mikir andai covid iki tidak  ono what college life would be would it be fun or sad or full of stress yaudahlah tidak  baik juga  menyesali berangkat maba tbtb sudah  jadi  mahasiswa akhir saja  sedih makannya saya jarang pulang  ingin  puas2in sini,"sometimes i think if covid didn't go on, what college life would be would it be fun or sad or full of stress, well, it's not good, it's also regretful to leave for new students, tbtb, i'm already a student, i'm sad to eat, i rarely go home, i want to be satisfied her",Positif,Positif
mengajak keluarga treking sentul paling oke liburan masa covid-19,inviting the sentul trekking family is the best for holidays during the covid-1' period,Positif,Positif
wuhan lockdown covid-19 kasus harian china tembus1000,wuhan lockdown covid-1' china daily cases pass 1000,Netral,Netral
setuju perniagaan keci boleh boleh covid kilang2 sektor pembinaan kes covid ribu2 apa,"i agree that small business can be covid, factories, construction sector, what are thousands of covid cases?",Negatif,Positif
bukan angin duduk salah vaksin cara tidak  kena covid padahal tinggal gausa nafas saja  ngapain pakai  vaksin coba,it's not the wind sitting wrong vaccine how to not get covid even though you just can't breathe why try using a vaccin,Negatif,Negatif
meninggal kena covid,died of covid,Netral,Netral
bila kumtaja magufuli kisufuria kinawasha magufuli alipokea pesa zilizokuwa zinakuja kwa kawaida miaka yote ikiwemo saya bot covid uliletwa kuomba kama hivi walimnyima maana miradi yake ilikuwa tishio kwao wazungu wanapenda hivi kukopa na kula usifanye maendeleo,"without mentioning magufuli, the pot is lit, magufuli received the money that was coming normally all the years including saya bot covid, you were brought to pray like this, they denied him because his projects were a threat to them, white people like to borrow and eat, don't make progress",Positif,Negatif
heee anda bloon kalau  tragedi kanjuruhan mati karena  terinjak2 setelah ditembak gas air mata paham bukan karena  covid blokkk,"heee, you are dumb if the tragedy demands that you die from being trampled after being shot with tear gas, you understand that it's not because of the covid block",Negatif,Negatif
guru murid tembaki disekolah,teacher pupils shoot at school,Netral,Netral
guru murid tembaki disekolah,teacher pupils shoot at school,Netral,Netral
situasi terkini covid selangor,the latest covid situation in selangor,Positif,Netral
melaksanakan himbauan protokol kesehatan covid-19 kepada masyarakat kab muara enim,implementing the covid-1' health protocol appeal to the people of muara enim reg,Netral,Netral
guru murid tembaki disekolah,teacher pupils shoot at school,Netral,Netral
efek musim pancaroba apa covid orang2 sakit gini,"what is the effect of the transition season or covid, people are sick like thi",Negatif,Negatif
bumi seleksi alam belum cukup apa sama covid kemarindeep condolences,earth natural selection is not enough what with yesterday's covid deep condol,Positif,Positif
update data uji pacar  covid-19 indonesia per tanggal oktober pukul wib via //,"update on indonesia's covid-1' boyfriend test data as of october, wib via //",Netral,Netral
sherehe za1 kuzindua daraja wami2 kuzindua sensa dom then upcoming sherehe3 kufikisha population m4 kuzingua sgr5 kuzindua bwawa la mtera na ruvu yamejaa maji6 tumeshika nafasi chanjo covid-19 zote izo hawachangishani ini  pesa,1st ceremony to launch my bridge 2nd to launch the census dom then upcoming ceremony ' to reach the population m4 to open the sgr5 to launch the mtera dam and ruvu are full of water 6 we have booked the covid-1' vaccine all of them don't raise money,Positif,Positif
sekali kapitalisme pandemi covid-19 - via,once the covid-1' pandemic capitalism - via,Netral,Netral
kasus covid-19 tinggi kota malang ppkm level,"covid-1' cases are high in malang, ppkm level",Positif,Netral
covid belum selesai masih varian baru + kasusnya banyak tapi  memang  sudah  tidak  terlalu diberitakan tiap tahun tanpa diramal banyak bencana wkwk,"covid isn't finished yet, there's still a new variant + there are lots of cases, but it's not really reported every year without forecasting that there are lots of disasters.",Positif,Positif
gelombang kecil kasus covid-19 terjadi menjelang masa kampanye pemilu ke-15 malaysia kementerian kesehatan negara mengingatkan pengurus partai politik calon,"a small wave of covid-1' cases occurred ahead of malaysia's 15th general election campaign period, the state health ministry reminded the organizers of the candidate's political parti",Negatif,Netral
kalau  covid bakal anggaran ngalir,if covid the budget will flow,Netral,Netral
kejar kebijakan nol-covid-19 china lockdown jutaan orang,pursue china's zero-covid-1' policy lockdown millions of peopl,Netral,Netral
mkc covid bad ye hi bawasir sab jagah,mkc covid bad ye hi bawasir sab jagah,Negatif,Netral
pembatasan karena  covid mulai dihilangkan ternyata benar  benar  dapat mengurangi angka kematian karena  covid,the restrictions because covid began to be removed turned out to be able to reduce the death rate due to covid,Positif,Positif
foto pas masih jaman covid saja  yaa free pas kondangan tante,"just take a photo during the covid era, okay, free at aunt's invit",Positif,Positif
abhi saal bol rha tha jb sudhara to pe aa gaya or andhbhakt ye covid vaccine tere modi ne baith kr nhi bnai scientists ne bnai hai or congress hoti tb bhi banti koi extra fund nhi diya tha modi ne or jo itne log paidal ghar gye or kuch mr gae covid me vo,abhi saal bol rha tha jb sudhara to pe aa gaya or andhbhakt ye covid vaccine tere modi ne baith kr nhi bnai scientists ne bnai hai or congress hoti tb bhi banti koi extra fund nhi diya tha modi ne or jo itne log paidal ghar gye or kuch mr gae covid me vo,Netral,Netral
vaksinasi masih kena covid benar-benar safe and effective,vaccination against covid is really safe and effect,Positif,Positif
satgas kasus covid-19 ri bertambah orang,the ri task force for covid-1' cases has increas,Netral,Netral
pemerintah kota sukabumi melaporkan stok vaksin covid-19 telah habis pemkot sukabumi masih menunggu distribusi vaksin covid-19 kementerian kesehatan ri,"the sukabumi city government reports that the covid-1' vaccine stock has run out, the sukabumi city government is still waiting for the distribution of the covid-1' vaccine, the indonesian ministry of health",Netral,Netral
neraya factors due to covid some compromises in scenes second half most of scenes rajini taniya nadanthidu irupar sentiment correct ana mix ila konjam overdose villain brother varavan okay jagapathi babu set agala,neraya factors due to covid some compromises in scenes second half most of scenes rajini taniya nadanthidu irupar sentiment correct ana mix ila konjam overdose villain brother varavan okay jagapathi babu set agala,Positif,Positif
malaysia siap gelar pemilu tengah gelombang covid-19 kampanye tanpapembatasan,malaysia is ready to hold elections amid the wave of covid-1' campaigns without restrict,Positif,Positif
titi con covid kajdkadk quackity dios,titi with covid kajdkadk quackity god,Netral,Netral
maisha kizungu ndio raha mapinduzi siku zingine mnakula pipi na chai siku zingine kuku jamani msinistress nataka raha mie big up maisha yamekuwa mafupi sana ebolacovidmzee hiv bpkisukari mnasubiria nini kupiva fataki ingine,"white life is pleasure, revolution, some days you eat sweets and tea, other days chicken, man, don't stress, i want to be happy, big up, life has become too short, ebolacovidmzee, hiv bpkisukari, what are you waiting for, fireworks, etc.",Positif,Negatif
le dio covid titi jabakasbskanansjajajaj,le dio covid street jabakasbskanansjajajaj,Netral,Netral
le dio covid titi jabakasbskanans,le dio covid titi jabakasbskanan,Netral,Netral
saan parte naging matalino ang luthengutong uto ang potekhawa hawa na kayo dinaig nyo pa covid sa lakas nyong makapanghawa ng kaengotan salam ko dala lang ng sobrang pagkasawi yan iyak ka na lang ng years pa,"where did the luthengutong idiot the potekhawa become wise, wow, you have overcome covid with your strength to spread anger, i'm sorry, it's just a lot of bad luck, just cry for more year",Negatif,Negatif
bri kini sedang menerapkan transformasi digital sangat membantu nasabah mengakses layanan keuangan pandemi covid masih berada kita,bri is currently implementing digital transformation to really help customers access financial services. the covid pandemic is still with u,Positif,Positif
kalau  saya sendiri kalau  tidak  covid kemarin sulit skripsi soalnya benar-benar  tidak  tahu  apa2 kalau  tesis paling tidak  sudah  pernah buat skripsi jadi  bbrpa sudah  tidak  kagok kalau  jurusan linier beda cerita kalau  s2nya beda jurusan sma s1,"for myself, if it wasn't covid, yesterday it was difficult to do the thesis, because i really don't know anything about a thesis, at least i've written a thesis, so some are not surprised if the linear major is a different story, if the master's degree is a different major, senior high school",Negatif,Negatif
