index,Tanggal,Username,Text,Text_Clean_Sambung,text_english
10,2022-10-31 23:50:03+00:00,AlbertSolo2,kementerian kesehatan ri meminta masyarakat untuk mewaspadai melonjaknya kasus baru covid-19 di awal tahun  apalagi setelah masuknya virus omicron varian xbb di indonesia beberapa hari lalu dki jakarta masih menjadi yang tertinggi dalam jumlah kasus baru covid-19,kementerian kesehatan ri meminta masyarakat mewaspadai melonjaknya kasus baru covid-19 awal tahun setelah masuknya virus omicron varian xbb indonesia beberapa hari lalu dki jakarta masih menjadi tertinggi jumlah kasus baru covid-19,"RI&#39;s Ministry of Health asked the public to be aware of the soaring new cases of Covid-19 at the beginning of the year after the entry of the Omicron virus, the Indonesian XBB variant, a few days ago DKI Jakarta still has the highest number of new cases of Covid-19"
11,2022-10-31 23:49:11+00:00,BeritakiniB,malaysia untuk mendapatkan vaksin bivalen pfizer yang dikemas kini -  malaysia akan menerima bentuk terkini vaksin covid-19 yang dikeluarkan oleh pfizer-bionte,malaysia mendapatkan vaksin bivalen pfizer dikemas kini - malaysia menerima bentuk terkini vaksin covid-19 dikeluarkan pfizer-bionte,Malaysia Receives Pfizer Bivalent Vaccine Updated - Malaysia Receives Latest Form Of Covid-19 Vaccine Released Pfizer-Bionte
12,2022-10-31 23:47:51+00:00,AlbertSolo2,kemenkes minta waspadai penularan covid - di awal tahun,kemenkes minta waspadai penularan covid - awal tahun,the ministry of health asked to be aware of the transmission of covid - early in the year
13,2022-10-31 23:46:53+00:00,Wilhelm_001,covid baya remember,covid baya remember,covid baya remember
14,2022-10-31 23:46:39+00:00,ashraf_ariffin,aku kena covid tempat kerja paksa aku dapatkan mc kalau takda mc aku dikira ul  tolak gaji sedangkan aku dah bagi gambar test kit aku dah bagi screenshot update my sejahtera yang tulis aku ni positive  kena quarantine hari,saya kena covid tempat kerja paksa saya dapatkan mc takda mc saya dikira ul tolak gaji saya sudah  gambar test kit saya sudah  screenshot update my sejahtera tulis saya ini  positive kena quarantine hari,"I have covid at the forced workplace, I get mc, no mc, I am counted as ul, deduct my salary, I have a picture of my test kit, I have a screenshot of my update, Sejahtera, write that I am positive, I have to be quarantined today"
15,2022-10-31 23:44:25+00:00,zamanikamis,buat swab test dlu qib bhya skarang nie dmam skit je pn  taw2 da kne covid,buat swab test dulu  qib bhya skarang nie dmam sakit  je pn taw2 da kne covid,buat swab test dulu qib bhya skarang nie dmam sakit je pn taw2 da kne covid
16,2022-10-31 23:42:08+00:00,noist133,eh tp itu beneran anjir sejak habis covid rasanya jantungku jadi kyk sering deg-degan apalagi kalau deket kamu,tapi  benar  anjir sejak habis covid rasanya jantungku seperti  sering deg-degan deket kamu,"but it&#39;s true that since the end of covid, it feels like my heart is often beating close to you"
17,2022-10-31 23:41:46+00:00,ditandari,gak usah covid ding flu biasa aja sekarang gahar bener gejalanya,tidak  usah covid ding flu biasa saja  sekarang gahar benar  gejalanya,"no need for covid ding, just the usual flu now, you don&#39;t really have the symptoms"
18,2022-10-31 23:40:37+00:00,ditandari,sekarang takutnya bukan cuma covid aja tapi juga stampede,sekarang takutnya bukan cuma covid saja  stampede,"now I&#39;m afraid it&#39;s not just Covid, it&#39;s Stampede"
19,2022-10-31 23:40:25+00:00,JuwianEko,niru kebijakan pandemi covid kemaren dan nanti direalisasikan satu bulan terakhir menjabat,niru kebijakan pandemi covid kemarin  direalisasikan satu bulan terakhir menjabat,imitating yesterday&#39;s covid pandemic policy realized in the last month in office
20,2022-10-31 23:39:42+00:00,licrazyrichasia,covid darjat,covid darjat,covid darjat
21,2022-10-31 23:37:46+00:00,Hobidan3,pns wafat kena covid trs mereka rekrut pegawai baru auto pengangguran berkurang,pns wafat kena covid terus  mereka rekrut pegawai baru auto pengangguran berkurang,"civil servants die from covid and they recruit new employees, unemployment automatically decreases"
22,2022-10-31 23:33:51+00:00,plumpotatosack,kalo meriang/batuk2 mending langsung tes covid lagi deh gw udah booster aja masih kena dan sakit bgt,kalau  meriang/batuk2 mending langsung tes covid deh saya  sudah  booster saja  masih kena sakit sangat ,"if you have a fever/cough, it&#39;s better to take the covid test right away, I&#39;ve already had a booster, it&#39;s still very sick"
23,2022-10-31 23:33:24+00:00,tirsakri,igt demam biasa eh tiber covid pulak,igt demam biasa tiber covid pulak,It&#39;s like a normal fever with covid
24,2022-10-31 23:33:23+00:00,FebyPurnama,ada beberapa faktor gangguan pembekuan darah dan yang lagi dipikirkan banyak ahli soal keterkaitan dengan riwayat infeksi contohnya covid-19,beberapa faktor gangguan pembekuan darah dipikirkan banyak ahli soal keterkaitan riwayat infeksi contohnya covid-19,"Several factors for blood clotting disorders are considered by many experts regarding the relationship between a history of infection, for example Covid-19"
25,2022-10-31 23:32:37+00:00,FitRadioSMG,fitphonelive jam bersama drg jusuf ph dhanya di,fitphonelive jam bersama dokter gigi  jusuf ph dhanya,fitphonelive jam with dentist jusuf ph dhanya
26,2022-10-31 23:32:14+00:00,RheaPara,virus covid-19 masih berada di sekeliling kita pakai pelitup muka walaupun tidak diwajibkan,virus covid-19 masih berada sekeliling kita pakai pelitup muka walaupun tidak diwajibkan,The covid-19 virus is still around us wearing face masks even though it is not mandatory
27,2022-10-31 23:30:58+00:00,MNCTrijayaBdg,tragedi itaewonpuan euforia kerumuman massa pasca-covid harus jadi perhatian,tragedi itaewonpuan euforia kerumuman massa pasca-covid harus perhatian,itaewonpuan tragedy the euphoria of the post-covid mass crowd must pay attention
28,2022-10-31 23:29:29+00:00,mediaindonesia,harga minyak merosot pada akhir perdagangan senin atau selasa pagi wib 1/11/2022 di tengah ekspektasi bahwa produksi as dapat naik serta pembatasan covid-19 yang meluas di tiongkok,harga minyak merosot akhir perdagangan senin selasa pagi wib 1/11/2022 tengah ekspektasi produksi as dapat naik pembatasan covid-19 meluas tiongkok,Oil prices slumped late Monday Tuesday morning 11/11/2022 WIB amid expectations US production could rise Covid-19 restrictions extend to China
29,2022-10-31 23:28:57+00:00,Fahirabaharim,good morning semua kepada yg kena covid speedy recovery and get well soon,good morning semua kepada kena covid speedy recovery and get well soon,"good morning everyone to those affected by covid, speedy recovery and get well soon"
30,2022-10-31 23:28:32+00:00,lyra_fara,walaupun kita dalam fasa peralihan ke endemik amalkan langkah-langkah pencegahan bagi elakkan penularan covid-19,walaupun kita fasa peralihan endemik amalkan langkah-langkah pencegahan elakkan penularan covid-19,"even though we are in the endemic transition phase, practice preventive measures to avoid the spread of covid-19"
31,2022-10-31 23:28:03+00:00,21BeritaTerkini,jangan teledor covid-19 masih ada varian xbb miliki ciri khas bergejala ringan dan cepat menyebar,jangan teledor covid-19 masih varian xbb miliki ciri khas bergejala ringan cepat menyebar,"Don&#39;t be careless about Covid-19, but the XBB variant has the characteristics of mild symptoms that spread quickly"
32,2022-10-31 23:26:26+00:00,AfiqGR,aduh covid omicron xbb pulakkk,aduh covid omicron xbb pulakkk,"Ouch, covid omicron xbb"
33,2022-10-31 23:25:05+00:00,Anto72829196,intinya manusia harus sehat jika sehat terkena covidtakan parah saya pernah terkena covid sakit sampe seminggu alhamdulillah sehat lg tanpa berobat ke rs istri  anak saya katularan mereka sakit selama hari  sembuh kembali anda brdsarkan ilmu kami brdsarkan pngalman,intinya manusia harus sehat sehat terkena covidtakan parah saya pernah terkena covid sakit seminggu alhamdulillah sehat lagi  tanpa berobat rs istri anak saya katularan mereka sakit selama hari sembuh anda brdsarkan ilmu kami brdsarkan pngalman,"The point is that humans must be healthy, healthy, affected by severe COVID-19. I have been affected by COVID-19."
34,2022-10-31 23:24:52+00:00,humasressleman,monggo kagem masyarakat yang belum vaksinasi covid-19 dosis booster syarat dan keterangan lengkap ada di info grafis ya sobat humas polrestasleman,monggo kagem masyarakat belum vaksinasi covid-19 dosis booster syarat keterangan lengkap info grafis sobat humas polrestasleman,"Please be amazed that the community has not been vaccinated against Covid-19 booster doses. Requirements for complete information, graphic info, friends of Public Relations Polrestasleman"
35,2022-10-31 23:24:51+00:00,vanT_Ti,kayanya gue covid,kayaknya  saya  covid,I think I have covid
36,2022-10-31 23:24:47+00:00,NisakMs,lamalama jadi dr umum ama sp di jkt harus mentalnya di atas baja lagi deh habis di cecar masyarakat nya mulu kemaren soal covid ini soal obat yg tercemar huaaa sad,lamalama dari  umum sama  sp jakarta  harus mentalnya atas baja deh habis cecar masyarakat terus  kemarin  soal covid soal obat tercemar huaaa sad,"long ago from the general public and SP Jakarta, you have to be mentally on steel, after all, the public has been splattered yesterday with the matter of covid, about contaminated medicine, huaaa sad"
37,2022-10-31 23:24:38+00:00,rhshzar,haish tiba-tiba badan dedar hope jangan covid,haish tiba-tiba badan dedar hope jangan covid,"haish suddenly the body is shaking, hope it&#39;s not covid"
38,2022-10-31 23:23:57+00:00,RaraRangkap,proyek menghidupkan orang mati di china,proyek menghidupkan orang mati china,project of raising the dead china
39,2022-10-31 23:23:26+00:00,MisbahulmunirP3,seragam bupati jember jadi barang bukti korupsi honor covid-19,seragam bupati jember barang bukti korupsi honor covid-19,jember regent uniform as evidence of corruption honor covid-19
40,2022-10-31 23:21:01+00:00,bicaranetwork,kemenkes laporkan kasus covid-19 varian xbb jadi kasus di indonesia,kemenkes laporkan kasus covid-19 varian xbb kasus indonesia,Ministry of Health reports case of Covid-19 variant XBB case in Indonesia
41,2022-10-31 23:20:51+00:00,Retnowonosari,menteri bumn mengajak semua pihak utk membangkitkan pariwisata nasional pada masa transisi pemulihan covid-19 kolaborasi membangun pariwisata indonesia ini komitmen beberapa stakeholders garuda travel agent  masyarakat,menteri bumn mengajak semua pihak untuk  membangkitkan pariwisata nasional masa transisi pemulihan covid-19 kolaborasi membangun pariwisata indonesia komitmen beberapa stakeholders garuda travel agent masyarakat,the minister of state-owned enterprises invites all parties to revive national tourism during the covid-19 recovery transition period collaboration to build indonesian tourism the commitment of several stakeholders garuda travel agent community
42,2022-10-31 23:19:41+00:00,dindinoooooo,nenek gue jg pas sebelum meninggal ngomong katanya liat anaknya yg udah meninggal nyamperin dia trs beberapa hari kemudian meninggal gara gara covid,nenek saya  juga  pas meninggal bicara  katanya liat anaknya sudah  meninggal nyamperin dia terus  beberapa hari kemudian meninggal gara gara covid,"When my grandmother also died, she said when she saw her child had died, she came to her and then a few days later she died because of Covid"
43,2022-10-31 23:19:40+00:00,pemudalincah,ini di kantor pada rame covid lg tbtb org kena,kantor ramai  covid lagi  tbtb orang  kena,the office is busy with covid again tbtb people get it
44,2022-10-31 23:18:48+00:00,JaPenWPKL,lorong haji taib lorong haji taib fokus penyampaian maklumat  panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19 tips penjagaan kendiri di rumah bagi pesakit covid-19 atau influenza hebahan keluar mengundi pada pru-15 hfmd,lorong haji taib lorong haji taib fokus penyampaian maklumat panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19 tips penjagaan kendiri rumah pesakit covid-19 influenza hebahan keluar mengundi pru-15 hfmd,"Taib Hajj Lane Taib Hajj Lane focus on providing information, flood safety guide, the importance of covid-19 vaccine booster doses, self-care tips at home for covid-19 influenza patients, voter turnout campaign for PRU-15 hfmd"
45,2022-10-31 23:18:24+00:00,uthayasb,gelombang covid-19 sudah kembali teruskan penjarakan sosial dan pakailah pelitup demi keselamatan diri,gelombang covid-19 teruskan penjarakan sosial pakailah pelitup keselamatan diri,wave of covid-19 continue social distancing wear personal safety cover
46,2022-10-31 23:16:49+00:00,cemitimas71,kira-kira semua pasien itu sudah pernah terpapar covid kah kira-kira apakah semua pasien itu sudah mendapatkan tindakan medis yang sama,kira-kira semua pasien pernah terpapar covid kira-kira semua pasien mendapatkan tindakan medis sama,"Approximately all patients have been exposed to Covid, approximately all patients receive the same medical treatment"
47,2022-10-31 23:15:28+00:00,rezakaisar3,tahun karena covid-19tahun karena invasi militer rusia ke ukraina,tahun covid-19tahun invasi militer rusia ukraina,year of covid-19year of military invasion of russia ukraine
48,2022-10-31 23:14:19+00:00,rezakaisar3,cuti bersama natal tahun ditiadakan karena covid-19cuti bersama natal tahun ditiadakan karena invasi militer rusia ke ukraina,cuti bersama natal tahun ditiadakan covid-19cuti bersama natal tahun ditiadakan invasi militer rusia ukraina,Christmas holiday year abolished covid-19 Christmas holiday year abolished russia military invasion ukraine
49,2022-10-31 23:11:56+00:00,cakpras,sebuah tragedi dunia di bulan oktober dari awal oktober hingga akhir oktober diawali dari indonesia korea dan berakhir di india kali ini bukan karna covid namun karna kerumunan lebih baik november hindari kerumunan dulu,sebuah tragedi dunia bulan oktober awal oktober hingga akhir oktober diawali indonesia korea berakhir india bukan karena  covid karena  kerumunan lebih baik november hindari kerumunan dulu,a world tragedy in october early october to late october starting indonesia korea ending india not because of covid because crowds better november avoid crowds first
50,2022-10-31 23:11:45+00:00,yuyunbah,hai sya baru first time tekene covid ya teramatlah sakit,hai saya  baru first time tekene covid teramatlah sakit,"Hi, this is the first time I have signed up for Covid, it really hurts"
51,2022-10-31 23:09:24+00:00,JaPenWPKL,jalan mega kecil jalan sekutu fokus penyampaian maklumat  panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19 tips penjagaan kendiri di rumah bagi pesakit covid-19 atau influenza hebahan keluar mengundi pada pru-15 hfmd,jalan mega kecil jalan sekutu fokus penyampaian maklumat panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19 tips penjagaan kendiri rumah pesakit covid-19 influenza hebahan keluar mengundi pru-15 hfmd,"small mega road, allied road, focus on delivering information, flood safety guide, the importance of covid-19 vaccine booster doses, self-care tips, covid-19 influenza patients&#39; homes, publicizing vote-out pru-15 hfmd"
52,2022-10-31 23:07:23+00:00,_khaihkim,makin lama korang sedar tak populasi dunia makin berkurang covid indonesia korea baru-baru ni jambatan dekat india punya tragedi orang,makin lama korang sedar tak populasi dunia makin berkurang covid indonesia korea baru-baru ini  jambatan dekat india punya tragedi orang,the longer you realize the world&#39;s population is decreasing covid indonesia korea recently the bridge near india has people&#39;s tragedies
53,2022-10-31 23:06:53+00:00,nanobaebae_,aku ingat pupus doh covid sbb lamo tak dgr sekali munculkan diri pulok,saya ingat pupus doh covid sbb lamo tak dengar  sekali munculkan diri pulok,I remember that covid died because I haven&#39;t heard of pulok appearing for a long time
54,2022-10-31 23:03:00+00:00,CekAja,cekizenpandemi belum juga usai terdapat varian covid baru yang telah terdeteksi di indonesia agar waspada berikut fakta-fakta mengenai varian covid xbb yang perlu kamu ketahui,cekizenpandemi belum usai terdapat varian covid baru telah terdeteksi indonesia waspada berikut fakta-fakta mengenai varian covid xbb perlu kamu ketahui,"Checking the zenpandemic is not over, there is a new variant of Covid that has been detected, Indonesia, be vigilant, here are the facts about the variant of Covid XBB, you need to know"
55,2022-10-31 23:01:15+00:00,DiazPutransyah,agar warga lampung bangkit pemprov lampung tekan angka pengangguran usai pandemi covid-19 meredaabidzar ini instagram esti kinasih,warga lampung bangkit pemprov lampung tekan angka pengangguran usai pandemi covid-19 meredaabidzar instagram esti kinasih,Lampung residents rise up Lampung provincial government suppresses unemployment after the Covid-19 pandemic subsides abidzar instagram esti kinasih
56,2022-10-31 23:00:19+00:00,ddzikryy,covid kelar populasi tetap terkikis knp dgn ,covid selesai  populasi tetap terkikis kenapa  dengan ,covid is over the population is still eroding why with
57,2022-10-31 23:00:16+00:00,jawapos,kasus covid-19 di kabupaten asmat kembali meningkat,kasus covid-19 kabupaten asmat meningkat,Covid-19 cases in Asmat district have increased
58,2022-10-31 22:59:53+00:00,JaPenWPKL,tips penjagaan kendiri di rumah bagi pesakit covid-19 atau influenza hebahan keluar mengundi pada pru-15 hfmd pencegahan demam denggi,tips penjagaan kendiri rumah pesakit covid-19 influenza hebahan keluar mengundi pru-15 hfmd pencegahan demam denggi,"Tips for self-care at home for covid-19 influenza patients, campaigning to get out to vote pru-15 hfmd prevention of dengue fever"
59,2022-10-31 22:59:18+00:00,JaPenWPKL,ppa presint -12b blok b2 ppa presint -12b blok c1 ppa presint -12b blok c2 ppa presint -12b blok c3 jalan p15 jalan diplomatik fokus penyampaian maklumat  panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19,ppa presint -12b blok b2 ppa presint -12b blok c1 ppa presint -12b blok c2 ppa presint -12b blok c3 jalan p15 jalan diplomatik fokus penyampaian maklumat panduan keselamatan banjir kepentingan dos penggalak vaksin covid-19,ppa precinct -12b block b2 ppa precinct -12b block c1 ppa precinct -12b block c2 ppa precinct -12b block c3 road p15 diplomatic road focus on delivering flood safety guide information importance of covid-19 vaccine booster dose
60,2022-10-31 22:58:36+00:00,hfmnesia,kebijakan covid-19 dan data ekonomi china melemahkan harga minyak via analysis,kebijakan covid-19 data ekonomi china melemahkan harga minyak via analysis,China&#39;s covid-19 economic data policy weakens oil prices via analysis
61,2022-10-31 22:57:54+00:00,Capiqsopian,one thing dont like about covid os batuk kering ni ya allah seksa nya,one thing dont like about covid os batuk kering ini  allah seksa,one thing don&#39;t like about covid os dry cough is allah torture
62,2022-10-31 22:55:33+00:00,rudyno1,sebaliknya jgn mentang2 anda merasa sakit terus dipukul rata aja yg pertama ngetwit kan uda langsung ngait2in sama long covid padahal itu korsel rate vaksinasi covid dah tinggi kenapa jg ga dikait2in dg vaksin covid,sebaliknya jangan  mentang2 anda merasa sakit terus dipukul rata saja  pertama ngetwit kan sudah  langsung ngait2in sama long covid padahal korsel rate vaksinasi covid sudah  tinggi juga  tidak  dikait2in dengan  vaksin covid,"conversely, don&#39;t be afraid that you feel sick and then you get hit just the first time you tweet, it&#39;s directly related to long covid, even though the carousel&#39;s covid vaccination rate is already high and it&#39;s not related to the covid vaccine"
63,2022-10-31 22:49:37+00:00,kabarpol,covid-19 varian xbb telah masuk di malaysia ditemukan empatkasus,covid-19 varian xbb telah masuk malaysia ditemukan empatkasus,The Covid-19 variant of XBB has entered Malaysia and four cases have been found
64,2022-10-31 22:49:34+00:00,kabarpolitik,covid-19 varian xbb telah masuk di malaysia ditemukan empatkasus,covid-19 varian xbb telah masuk malaysia ditemukan empatkasus,The Covid-19 variant of XBB has entered Malaysia and four cases have been found
65,2022-10-31 22:48:20+00:00,Wan____i,depa cakap kena pakai mask balik while aku rilek ja memang dok pakai double mask covid ni bukannya hilang lagipun yang awak nak ambek mudah tu,depa cakap kena pakai mask balik while saya rilek ja memang dok pakai double mask covid ini  bukannya hilang lagipun awak anak ambek mudah itu ,"You said you have to wear a mask again while I&#39;m relaxing, it&#39;s true that wearing a double mask, this covid won&#39;t go away anyway, you&#39;re an easily angry child"
66,2022-10-31 22:46:48+00:00,DonyP230678,karena jokowi itu visioner bermental pengusaha risk taker tapi sangat terukur kalkulasi nya di atas kertas waktu awal covid kaum lo teriak2 lockdown tp jokowi pilih psbb  ppkm dan sukses btw mainan hoax ijazah jokowi udahan nih segitu doang kemampuan lo,jokowi visioner bermental pengusaha risk taker sangat terukur kalkulasi atas kertas waktu awal covid kaum kamu  teriak2 lockdown tapi  jokowi pilih psbb ppkm sukses btw mainan hoax ijazah jokowi udahan segitu saja  kemampuan kamu ,"Jokowi is visionary, has the mentality of being an entrepreneur, a risk taker is very measurable. Calculations on paper at the start of Covid, your people shouted lockdown, but Jokowi chose PSBB PPKM."
67,2022-10-31 22:46:07+00:00,detikcom,pedagang pasar cihapit mulai beralih ke iklim digital agar lebih tahan banting dari pandemi covid-19 terbukti geliat ekonomi terus berputar bahkan lebih jauh,pedagang pasar cihapit mulai beralih iklim digital lebih tahan banting pandemi covid-19 terbukti geliat ekonomi terus berputar bahkan lebih jauh,"Cihapit market traders are starting to switch to the digital climate, which is more resilient. The Covid-19 pandemic has proven to be stretched, the economy continues to spin even further"
68,2022-10-31 22:43:34+00:00,euphworica,iya samaaa aku ga dibolehin gara masi covid waktu itu,iya samaaa saya tidak  dibolehin gara masi covid waktu,"Yes, I&#39;m not allowed because of Covid time"
69,2022-10-31 22:36:43+00:00,dep4ni,sumpah ya semenjak kena covid tu tenggorokan kek sensitif bgt anjrit padahal kalo di pikir aku jarang minum es,sumpah semenjak kena covid itu  tenggorokan kek sensitif sangat  anjrit padahal kalau  pikir saya jarang minum es,"I swear that since I got Covid, my throat is very sensitive, it&#39;s sore, even though if I think about it, I rarely drink ice"
70,2022-10-31 22:35:00+00:00,tabanan_polres,cegah penularan covid-19 ayo tuntaskan vaksinasi booster covid-19,cegah penularan covid-19 ayo tuntaskan vaksinasi booster covid-19,prevent the transmission of covid-19 let&#39;s complete the covid-19 booster vaccination
71,2022-10-31 22:34:43+00:00,Kacangkulit101,bikin film lagi kayak dulu jelas2 kita dulu tertipu di indonesia yg kita covid-19 gak ada yg jatuh kejang2 trus mati,film mirip  dulu jelas2 kita dulu tertipu indonesia kita covid-19 tidak  jatuh kejang2 terus  mati,"films similar to the past, clearly we were deceived by Indonesia, we didn&#39;t fall into convulsions and then died with Covid-19"
72,2022-10-31 22:34:39+00:00,crystalJM1013,di tempatku buanyak banget yg batuk kering ataupun berdahak di tempat kalian juga engga curiga ini covid,tempatku buanyak sekali  batuk kering ataupun berdahak tempat kalian tidak  curiga covid,where I have lots of dry coughs or phlegm where you don&#39;t suspect Covid
73,2022-10-31 22:34:33+00:00,kumparan,pengunjung disney resort shanghai tidak bisa keluar dari wahana sebelum ada hasil negatif covid-19,pengunjung disney resort shanghai tidak bisa keluar wahana hasil negatif covid-19,disney resort shanghai visitors can&#39;t get out of the rides negative result of covid-19
74,2022-10-31 22:33:37+00:00,smartfm_medan,kementerian kesehatan kemenkes menargetkan implementasi platform saling pengakuan sertifikat kesehatan digital di negara-negara g20 terjadi pada kuartal kesepakatan ini memungkinkan bukti vaksinasi covid-19 digital mudah terverifikasi di negara-negara g20 semua,kementerian kesehatan kemenkes menargetkan implementasi platform saling pengakuan sertifikat kesehatan digital negara-negara g20 terjadi kuartal kesepakatan memungkinkan bukti vaksinasi covid-19 digital mudah terverifikasi negara-negara g20 semua,the ministry of health the ministry of health targets the implementation of the mutual recognition platform of digital health certificates of g20 countries the quarter of the agreement allows digital covid-19 vaccination proof to be easily verified g20 countries all
75,2022-10-31 22:33:20+00:00,nuryadirahman7,saya menyesal terlanjur vaksin selesai vaksin masih kena covid juga,saya menyesal terlanjur vaksin selesai vaksin masih kena covid,"I regret that the vaccine has finished, the vaccine is still affected by Covid"
76,2022-10-31 22:32:02+00:00,SidarejaPolsek,anggota polsek sidareja melaksanakan ops yustisi masker guna pencegahan covid,anggota polsek sidareja melaksanakan ops yustisi masker pencegahan covid,members of the Sidareja Police carry out ops yustisi masks for covid prevention
77,2022-10-31 22:32:02+00:00,jawapos,covid-19 varian xbb telah masuk di malaysia ditemukan empat kasus,covid-19 varian xbb telah masuk malaysia ditemukan empat kasus,The Covid-19 variant of XBB has entered Malaysia and four cases have been found
78,2022-10-31 22:31:51+00:00,SidarejaPolsek,anggota polsek sidareja melaksanakan ops yustisi masker guna pencegahan covid,anggota polsek sidareja melaksanakan ops yustisi masker pencegahan covid,members of the Sidareja Police carry out ops yustisi masks for covid prevention
79,2022-10-31 22:31:49+00:00,klikwarta_com,puan euforia kerumuman massa pasca-covid harus jadi perhatian,puan euforia kerumuman massa pasca-covid harus perhatian,ladies euphoria after the post-covid mass crowd must pay attention
80,2022-10-31 22:31:44+00:00,SidarejaPolsek,anggota polsek sidareja melaksanakan ops yustisi masker guna pencegahan covid,anggota polsek sidareja melaksanakan ops yustisi masker pencegahan covid,Members of the Sidareja Police carry out the Ops Yustisi mask for Covid prevention
81,2022-10-31 22:31:35+00:00,KFA_nim,hmmm positive covid again and kalini rsa mcm dipersalahkan gila2 but its not like can control it,hmmm positive covid again and kalini rsa macam  dipersalahkan gila2 but its not like can control it,hmmm positive covid again and this time it feels like being blamed like crazy but its not like it can control it
