Tanggal,Username,Text
2022-10-31 23:46:39+00:00,ashraf_ariffin,"@zafirazafrin aku kena covid, tempat kerja paksa aku dapatkan MC. kalau takda MC, aku dikira UL &amp; tolak gaji. sedangkan aku dah bagi gambar test kit, aku dah bagi screenshot update my sejahtera yang tulis aku ni positive &amp; kena quarantine 7 hari🤦🏻‍♂️"
2022-10-31 23:44:25+00:00,zamanikamis,"@cucumohamed_ Buat swab test dlu qib bhya skarang nie dmam skit je pn , taw2 da kne covid"
2022-10-31 23:42:08+00:00,noist133,"@kkbyyy @BaseAnakFK Eh tp itu beneran anjir, sejak habis covid rasanya jantungku jadi kyk sering deg-degan apalagi kalau deket kamu"
2022-10-31 23:41:46+00:00,ditandari,Gak usah covid ding. Flu biasa aja sekarang gahar bener gejalanya.
2022-10-31 23:40:37+00:00,ditandari,Sekarang takutnya bukan cuma covid aja tapi juga stampede. https://t.co/sOj7lYsh8s
2022-10-31 23:40:25+00:00,JuwianEko,"niru kebijakan pandemi covid kemaren, dan nanti direalisasikan satu bulan terakhir menjabat,,, 🤭 https://t.co/6neC6sdEep"
2022-10-31 23:39:42+00:00,licrazyrichasia,covid 2 darjat https://t.co/ICOL77K5I7
2022-10-31 23:37:46+00:00,Hobidan3,"@kang_kasur @triombunsitorus @hrdbacot PNS wafat kena covid, trs mereka rekrut pegawai baru.. auto pengangguran berkurang 🤣"
2022-10-31 23:33:51+00:00,plumpotatosack,"Kalo meriang/batuk2 mending langsung tes covid lagi deh, gw udah booster aja masih kena dan sakit bgt 🥲"
2022-10-31 23:33:24+00:00,tirsakri,igt demam biasa eh tiber covid pulak
2022-10-31 23:33:23+00:00,FebyPurnama,"@RamLee_N Ada beberapa faktor, gangguan pembekuan darah, dan yang lagi dipikirkan banyak ahli soal keterkaitan dengan riwayat infeksi, contohnya covid-19"
2022-10-31 23:32:37+00:00,FitRadioSMG,"FitPhoneLive Jam 10.00
Bersama drg. Jusuf, Ph.D
Hanya di @FitRadioSMG 
@jokowi  @WHO  @satgascovid19 @satgasperubahanperilaku @KemenkesRI  @Hakam81564423 @dinkesjateng  @mbakITASMG  @WHOIndonesia #covid_19 #omicron #fitphonelive #ahlikesehatan #radiokesehatan #stayfit #november https://t.co/wii4eUN7tH"
2022-10-31 23:32:14+00:00,RheaPara,"Virus COVID-19 masih berada di sekeliling kita. Pakai pelitup muka walaupun tidak diwajibkan!

@DGHisham @KKMPutrajaya @protecthealthco https://t.co/eMz8OXOGTE"
2022-10-31 23:30:58+00:00,MNCTrijayaBdg,"Tragedi Itaewon, Puan: Euforia Kerumuman Massa Pasca-Covid Harus Jadi Perhatian https://t.co/rMwDyqGhv5"
2022-10-31 23:29:29+00:00,mediaindonesia,HARGA minyak merosot pada akhir perdagangan Senin atau Selasa pagi WIB (1/11/2022) di tengah ekspektasi bahwa produksi AS dapat naik serta pembatasan covid-19 yang meluas di Tiongkok.  https://t.co/kL7qdSnVW9
2022-10-31 23:28:57+00:00,Fahirabaharim,"Good morning semua.. kepada yg kena covid, speedy recovery and get well soon. 🫶🏻"
2022-10-31 23:28:32+00:00,lyra_fara,"Walaupun kita dalam fasa peralihan ke endemik, amalkan langkah-langkah pencegahan bagi elakkan penularan COVID-19.

@DGHisham @KKMPutrajaya @protecthealthco https://t.co/xHePjryDFB"
2022-10-31 23:28:03+00:00,21BeritaTerkini,"Jangan Teledor Covid-19 Masih Ada, Varian XBB Miliki Ciri Khas Bergejala Ringan dan Cepat Menyebar https://t.co/Q5TBFD7XiV"
2022-10-31 23:26:26+00:00,AfiqGR,Aduh covid omicron XBB pulakkk
2022-10-31 23:25:05+00:00,Anto72829196,"@hana_zianahktar @Wahyu_Jat_ @t3luuur @DokterTifa Intinya manusia harus sehat, jika sehat terkena covid(takan Parah) saya pernah terkena covid, sakit sampe seminggu Alhamdulillah sehat lg tanpa berobat ke RS, istri &amp; anak saya katularan, Mereka sakit Selama 3 Hari &amp; sembuh kembali. Anda brdsarkan ilmu, kami brdsarkan Pngalman"
2022-10-31 23:24:52+00:00,humasressleman,"Monggo Kagem Masyarakat Yang Belum Vaksinasi Covid-19 Dosis 3 (Booster)
.
Syarat dan keterangan lengkap ada di Info grafis ya Sobat Humas
.
@sidokkes.polrestasleman
@slemancityhall
@dinkessleman
#humaspolrestasleman https://t.co/PopRWUd0qQ"
2022-10-31 23:24:51+00:00,vanT_Ti,Kayanya gue covid 😅😅😅
2022-10-31 23:24:47+00:00,NisakMs,Lamalama jadi dr.umum ama sp di jkt harus mentalnya di atas baja lagi  deh🥹 habis di cecar masyarakat nya mulu 😂 kemaren soal covid ini soal obat yg tercemar Huaaa sad!
2022-10-31 23:24:38+00:00,rhshzar,Haish tiba-tiba badan dedar. Hope jangan covid
2022-10-31 23:23:57+00:00,RaraRangkap,#covid #travel #repost proyek menghidupkan orang mati di china https://t.co/hQusXMcDir
2022-10-31 23:23:26+00:00,MisbahulmunirP3,Seragam Bupati Jember Jadi Barang Bukti Korupsi Honor Covid-19  https://t.co/U5COovxWM3
2022-10-31 23:21:01+00:00,bicaranetwork,Kemenkes Laporkan Kasus COVID-19 Varian XBB Jadi 8 Kasus di Indonesia https://t.co/JLExFAPvYq
2022-10-31 23:20:51+00:00,Retnowonosari,"Menteri BUMN @erickthohir mengajak semua pihak utk membangkitkan pariwisata nasional pada masa transisi pemulihan COVID-19.
Kolaborasi membangun pariwisata Indonesia ini komitmen beberapa stakeholders :Garuda, travel agent &amp; masyarakat.
#BangkitBersamaET https://t.co/peOPFZRMaW"
2022-10-31 23:19:41+00:00,dindinoooooo,"@convomf nenek gue jg pas sebelum meninggal ngomong katanya liat anaknya yg udah meninggal nyamperin dia, trs beberapa hari kemudian meninggal gara gara covid 😔"
2022-10-31 23:19:40+00:00,pemudalincah,"ini di kantor pada rame covid lg, tbtb 8 org kena.."
2022-10-31 23:18:48+00:00,JaPenWPKL,"🔶 Lorong Haji Taib 2
🔶 Lorong Haji Taib 3
 
Fokus Penyampaian Maklumat :
📌 Panduan keselamatan banjir 
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 Tips penjagaan kendiri di rumah bagi pesakit COVID-19 atau Influenza
📌 Hebahan keluar mengundi pada PRU-15 
📌 HFMD

#IOW https://t.co/gCj274BdC1"
2022-10-31 23:18:24+00:00,uthayasb,"Gelombang Covid-19 sudah kembali. 

Teruskan penjarakan sosial dan pakailah pelitup demi keselamatan diri.  https://t.co/k7c153nQh7"
2022-10-31 23:16:49+00:00,cemitimas71,"@dr_koko28 Kira-kira semua pasien itu sudah pernah terpapar covid kah? 

Kira-kira apakah semua pasien itu sudah mendapatkan tindakan medis yang sama?"
2022-10-31 23:15:28+00:00,rezakaisar3,"@tsunflowerst Tahun 2021 karena COVID-19

Tahun 2022 karena invasi militer Rusia ke Ukraina"
2022-10-31 23:14:19+00:00,rezakaisar3,"@niniistriah Cuti bersama Natal tahun 2021 ditiadakan karena COVID-19

Cuti bersama Natal tahun 2022 ditiadakan karena invasi militer Rusia ke Ukraina"
2022-10-31 23:11:56+00:00,cakpras,"sebuah tragedi dunia di bulan oktober 2022. dari awal oktober hingga akhir oktober.  
diawali dari indonesia, korea dan berakhir di india.  
kali ini bukan karna covid. namun karna kerumunan. 

lebih baik november hindari kerumunan dulu."
2022-10-31 23:11:45+00:00,yuyunbah,hai sya baru first time tekene covid ya. teramatlah sakit
2022-10-31 23:09:24+00:00,JaPenWPKL,"🔶 Jalan Mega Kecil
🔶 Jalan Sekutu
 
Fokus Penyampaian Maklumat :
📌 Panduan keselamatan banjir 
📌 Kepentingan dos penggalak vaksin COVID-19 
📌 Tips penjagaan kendiri di rumah bagi pesakit COVID-19 atau Influenza
📌 Hebahan keluar mengundi pada PRU-15 
📌 HFMD

#IOW https://t.co/qNYuXCX5kO"
2022-10-31 23:07:23+00:00,_khaihkim,"Makin lama korang sedar tak populasi dunia makin berkurang, covid, indonesia, korea, baru-baru ni jambatan dekat india punya tragedi 90 orang"
2022-10-31 23:06:53+00:00,nanobaebae_,"@uuumiiaaahh aku ingat pupus doh covid sbb lamo tak dgr, sekali munculkan diri pulok"
2022-10-31 23:03:00+00:00,CekAja,"Cekizen!
Pandemi belum juga usai, terdapat varian Covid baru yang telah terdeteksi di Indonesia. Agar waspada, berikut fakta-fakta mengenai varian Covid XBB yang perlu kamu ketahui!

https://t.co/gev0tXkKGl

#cekaja #tokofinansial #covid #variancovid #xbb"
2022-10-31 23:01:15+00:00,DiazPutransyah,"Agar Warga Lampung Bangkit, Pemprov Lampung Tekan Angka Pengangguran Usai Pandemi Covid-19 Mereda

abidzar Ini Instagram esti kinasih #JKT48HalloweenEvent https://t.co/CzGSFKx9w6"
2022-10-31 23:00:19+00:00,ddzikryy,covid kelar populasi tetap terkikis. knp y dgn 2022? https://t.co/66FukuYc8g
2022-10-31 23:00:16+00:00,jawapos,Kasus Covid-19 di Kabupaten Asmat Kembali Meningkat https://t.co/Jb9Q8LgJhS
2022-10-31 22:59:53+00:00,JaPenWPKL,"📌 Tips penjagaan kendiri di rumah bagi pesakit COVID-19 atau Influenza
📌 Hebahan keluar mengundi pada PRU-15
📌 HFMD
📌 Pencegahan Demam Denggi

#IOW
#KomunikasiKita
#TiadaAedesTiadaDenggi
#KeluargaMalaysiaSiagaBencana
#LindungDiriLindungSemua 
#KitaJagaKita 
#COVID19 
#KLCeria https://t.co/8KfpBcmrnz"
2022-10-31 22:59:18+00:00,JaPenWPKL,"🔶 PPA Presint 15-12B Blok B2
🔶 PPA Presint 15-12B Blok C1
🔶 PPA Presint 15-12B Blok C2
🔶 PPA Presint 15-12B Blok C3
🔶 Jalan P15
🔶 Jalan Diplomatik
 
Fokus Penyampaian Maklumat :
📌 Panduan keselamatan banjir 
📌 Kepentingan dos penggalak vaksin COVID-19 https://t.co/eh0P5CqfMn"
2022-10-31 22:58:36+00:00,hfmnesia,"#WTI    #opecplus  Kebijakan Covid-19 dan Data Ekonomi China, Melemahkan Harga Minyak https://t.co/VsiSbp8gYJ via @HF Analysis"
2022-10-31 22:57:54+00:00,Capiqsopian,One thing i dont like about covid os batuk kering ni.. ya allah seksa nya
2022-10-31 22:55:33+00:00,rudyno1,"@CootheBrown @dr_koko28 sebaliknya jgn mentang2 anda merasa sakit, terus dipukul rata aja, yg pertama ngetwit kan uda langsung ngait2in sama long covid, padahal itu korsel rate vaksinasi covid dah tinggi, kenapa jg ga dikait2in dg vaksin covid?"
2022-10-31 22:49:37+00:00,kabarpol,"Covid-19 Varian XBB Telah Masuk di Malaysia, Ditemukan Empat Kasus https://t.co/0mWz3NmokZ"
2022-10-31 22:49:34+00:00,kabarpolitik,"Covid-19 Varian XBB Telah Masuk di Malaysia, Ditemukan Empat Kasus https://t.co/YHIBTVIatk"
2022-10-31 22:48:20+00:00,Wan____i,"Depa cakap kena pakai mask balik, while aku rilek ja memang dok pakai double mask. Covid ni bukannya hilang lagipun yang awak nak ambek mudah tu"
2022-10-31 22:46:48+00:00,DonyP230678,"@DokterTifa Karena Jokowi itu visioner, bermental pengusaha, risk taker tapi sangat terukur kalkulasi nya di atas kertas. Waktu awal covid kaum lo teriak2 lockdown tp Jokowi pilih PSBB &amp; PPKM dan sukses. Btw, mainan hoax ijazah Jokowi udahan nih? Segitu doang kemampuan lo?"
2022-10-31 22:46:07+00:00,detikcom,"Pedagang Pasar Cihapit mulai beralih ke iklim digital agar lebih tahan banting dari pandemi COVID-19. Terbukti, geliat ekonomi terus berputar bahkan lebih jauh. https://t.co/xKsJiZ2pVQ"
2022-10-31 22:43:34+00:00,euphworica,"@pluttozz iya samaaa aku ga dibolehin gara"" masi covid waktu itu"
2022-10-31 22:36:43+00:00,dep4ni,"sumpah ya, semenjak kena covid tu tenggorokan w kek sensitif bgt anjrit, padahal kalo di pikir² aku jarang minum es😾"
2022-10-31 22:35:00+00:00,tabanan_polres,"Cegah Penularan Covid-19, Ayo Tuntaskan Vaksinasi Booster Covid-19, #ayokitavaksin #ayovaksìncovid19 #vaksìnbooster #vaksìncovid19 #vaksinasicovid19 #vaksinaman #bersatulawancovid19 #bersamalawancorona #polrestabanan https://t.co/q1KzmZpJLJ"
2022-10-31 22:34:43+00:00,Kacangkulit101,"@Lisaamartatara4 Bikin Film lagi kayak dulu..... 
Jelas2 Kita dulu tertipu di Indonesia yg kita COVID-19 gak ada yg jatuh kejang2 trus mati"
2022-10-31 22:34:39+00:00,crystalJM1013,"Di tempatku buanyak banget yg batuk kering ataupun berdahak, di tempat kalian juga engga? Curiga ini covid :(("
2022-10-31 22:34:33+00:00,kumparan,Pengunjung Disney Resort Shanghai tidak bisa keluar dari wahana sebelum ada hasil negatif COVID-19. #kumparanNEWS https://t.co/Q8Zuf6WIMP
2022-10-31 22:33:37+00:00,smartfm_medan,"Kementerian Kesehatan (Kemenkes) menargetkan implementasi platform saling pengakuan sertifikat kesehatan digital di negara-negara G20 terjadi pada kuartal I 2023.

Kesepakatan ini memungkinkan bukti vaksinasi Covid-19 digital mudah terverifikasi di negara-negara G20.

Semua … https://t.co/IbQNKcsSDM"
2022-10-31 22:33:20+00:00,nuryadirahman7,@mihrabku Saya menyesal terlanjur vaksin 3x. Selesai vaksin 3 masih kena covid juga. 😪
2022-10-31 22:32:02+00:00,SidarejaPolsek,anggota polsek sidareja melaksanakan ops yustisi masker guna pencegahan covid https://t.co/lrgD17dKYH
2022-10-31 22:32:02+00:00,jawapos,"Covid-19 Varian XBB Telah Masuk di Malaysia, Ditemukan Empat Kasus https://t.co/qxTa8U26FT"
2022-10-31 22:31:51+00:00,SidarejaPolsek,anggota polsek sidareja melaksanakan ops yustisi masker guna pencegahan covid https://t.co/1rxitPNmni
2022-10-31 22:31:49+00:00,klikwarta_com,Puan: Euforia Kerumuman Massa Pasca-Covid Harus Jadi Perhatian https://t.co/9UbZwG7y6R
2022-10-31 22:31:44+00:00,SidarejaPolsek,anggota polsek sidareja melaksanakan ops yustisi masker guna pencegahan covid https://t.co/SspaHG5tjU
2022-10-31 22:31:35+00:00,KFA_nim,Hmmm positive covid again and kalini rsa mcm dipersalahkan gila2 but its not like i can control it....
2022-10-31 22:31:33+00:00,SidarejaPolsek,anggota polsek sidareja melaksanakan ops yustisi masker guna pencegahan covid https://t.co/fVyluOAW0S
2022-10-31 22:28:00+00:00,myne94,"@yesmar_banu @rasjawa Ini kejadiannya kayak pembangunan RS daerah di provinsi NTT apa di NTB(aku lupa tepatnya dimana) jg di nyinyirin padahal di daerah tersebut kalau mau ke RS yg gede tuh harus ke kota sebelahnya.ada beritanya yg resmiin pak Terawan, ini pas awal covid kejadiannya"
2022-10-31 22:27:31+00:00,heinekxn_,covid matame ya lpm
2022-10-31 22:25:08+00:00,KangDimas17,"Covid-19, Kapitalisme, dan Teori Konspirasi https://t.co/CUqgxOcvXN lewat @ArahJuang"
2022-10-31 22:20:54+00:00,rctvcirebon,"Berawal pernah menjadi penyitas covid 19, dan merasakan menerima kebaikan dari para tetangganya, anggota SPKT Polresta Cirebon, rutin... - https://t.co/8DX5FfABBd https://t.co/FVOf9DzOiJ"
2022-10-31 22:17:35+00:00,mdilman12,bodo sial mcm gini pun kena covid
2022-10-31 22:14:43+00:00,hakimkeemo,Lagi mudarat pergi Luar negara (turki) masa covid balik tak kuarantin 😜😝 https://t.co/bS6K5wGetH
2022-10-31 22:14:10+00:00,syfqslm,"2 tahun pertahankan, sebabkan lalai sikit je. Pertahanan aku rebah.

Positive COVID. Damnn"
2022-10-31 22:13:55+00:00,DehillsN,"Khawatir COVID-19, Pengunjung Terjebak di Disneyland Shanghai https://t.co/hRvCdnNgOE"
2022-10-31 22:05:37+00:00,Traffic_Jogja,PASIEN COVID-19 SEMBUH DI INDONESIA NAIK 2.309 JADI 6.309.790 ORANG PER 31 OKT
2022-10-31 22:05:13+00:00,Traffic_Jogja,PASIEN COVID MENINGGAL DI INDONESIA BERTAMBAH 34 JADI 158.631 ORANG PER 31 OKT
2022-10-31 22:02:56+00:00,Traffic_Jogja,205.139.700 ORANG DI INODNESIA TELAH DIVAKSIN COVID-19 DOSIS 1 PER 31 OKT 2022
2022-10-31 22:02:30+00:00,panggilaja_eci,"@nurinuriii Wow...thanks for doing this. Aku berharap tahun 2023 penyakit anxietyku dah sembuh. Bisa lebih yakin dan sayang pada diriku sendiri. Bisa lebih banyak baca novel dan travelling, dan bisa meluk ponakan2 yang udah 3 tahun terpisah karena Covid. Aamiin"
2022-10-31 22:02:04+00:00,Traffic_Jogja,PEMERINTAH PANTAU 2.916 SUSPEK COVID-19 &amp; PERIKSA 57.034 SPESIMEN PER 31 OKT
2022-10-31 22:01:34+00:00,TidarPerkasa,Semoga pasien Covid-19 diberikan sekembuhan hari ini. aamiin #COVID19indonesia
2022-10-31 21:58:26+00:00,EDHARIS3,"@Mdy_Asmara1701 Bila..
Janji lapor keuntungan FormulaE gak terbukti, itu BOHONG gak?
Bilang buat Lab Covid, tak ada, itu BOHONG gak? 
Bilang buat pabrik minyak goreng tp tak ada, itu BOHONG gak? 
Bilang bangun ratusan ribu Rumah DP 0% hanya terbangun kurang dari 10rb, itu BOHONG ga?😝😝"
2022-10-31 21:52:53+00:00,Traffic_Jogja,"MENKEU SRI MULYANI : PANDEMI COVID-19, KONDISI GEOPOLITIK, ANCAMAN RESESI MENJADI TANTANGAN EKONOMI DOMESTIK"
2022-10-31 21:52:06+00:00,Traffic_Jogja,PUNCAK COVID-19 OMICRON XBB DI PREDIKSI JANUARI 2023
2022-10-31 21:52:00+00:00,myne94,"@cebong_tolol @ojolwinwis @dr_koko28 @MayoClinic Tetangga ku malah sebelum ada covid jg meninggal mendadak,bangun subuh ngingetin istrinya masak lanjut tidur eh kagak bangun2 lagi orangnya nggak sakit sehat2 aja,ada lagi tetanggaku pagi hari masih ke sawah jam 3 sore udah meninggal ini sebelum ada covid ya blok"
2022-10-31 21:50:34+00:00,Traffic_Jogja,KEMENKES : 171.890.243 WARGA RI SDUAH DIVAKSINASI COVID-19 DOSIS KEDUA
2022-10-31 21:49:59+00:00,Traffic_Jogja,KEMENKES : 205.146.012 WARGA RI SUDAH DIVAKSINASI COVID-19 DOSIS PERTAMA
2022-10-31 21:48:42+00:00,Traffic_Jogja,KEMENKES : INFEKSI COVID-19 VARIAN XBB DI INDONESIA MENJADI 8 KASUS
2022-10-31 21:45:09+00:00,ladyfromnowher3,@dayatpiliang 2020 pas covid lg tinggi² nya
2022-10-31 21:44:14+00:00,Traffic_Jogja,MALAYSIA TEMUKAN EMPAT KASUS COVID-19 SUBVARIAN OMICRON XBB
2022-10-31 21:42:40+00:00,Mukminus_,"setelah covid bunuh bnyak org, seakan alam blm ""selesai"", ratusan org mulai mati dgn berbagai kejadian. Kanjuruhan, Itaewon, skrg ini. https://t.co/FnAT7BA0y3"
2022-10-31 21:36:46+00:00,SINDOnews,"Kasus Covid-19 Kembali Meningkat, Malaysia Anjurkan Pemakaian Masker

 #Sindonews #BukanBeritaBiasa .https://t.co/p79er368gm"
2022-10-31 21:33:13+00:00,501Awani,"Punithan dijatuhi hukuman mati pada Mei 2020, orang pertama dijatuhkan hukuman semasa pandemik COVID-19, melalui pembicaraan jarak jauh.

#AWANInews #AWANIpagi

https://t.co/48WBSX31BG"
2022-10-31 21:32:41+00:00,ninjagae83,@geonews_urdu Billi k khuwab mai chichre 🤣🤣🤣 isi brazil k sadar ko covid k tim tune khan se milaya or Allah ne tujhe kutto wala zalil kia
2022-10-31 21:17:31+00:00,nisailmiaa,"Kdg mikir andai covid iki gak ono, what college life would be? Would it be fun? Or sad? Or full of stress? Tapi yaudahlah, ga baik jg menyesali sesuatu. Berangkat maba, tbtb udah jd mahasiswa akhir aja. Sedih. Makannya aku jarang plg, pgn puas2in di sini."
2022-10-31 21:16:02+00:00,lintas_sentul,"Mengajak keluarga Treking ke sentul, paling oke liburan masa Covid-19 https://t.co/55qEbykZTS"
2022-10-31 21:07:44+00:00,rtslots,"Wuhan Lockdown COVID-19 Lagi, Kasus Harian Di China Tembus 1000 https://t.co/ylYBTBc2DW"
2022-10-31 21:06:56+00:00,wenhan07,"@Ktxk9888 @AzminAli Setuju, perniagaan keci, x boleh x boleh, ada covid. Kilang2 &amp; Sektor pembinaan, ada kes covid ribu2 x apa"
2022-10-31 21:04:32+00:00,TheaRizkyyy,"@divovirgosa @_nagininagini @cebong_tolol @dr_koko28 @MayoClinic Bukan angin duduk, pasti ini salah vaksin. Cara biar ga kena covid padahal tinggal gausa nafas aja ngapain pake vaksin coba."
2022-10-31 20:50:19+00:00,Pak_Samo,Karena pada meninggal kena covid?? https://t.co/TDZk7QDRpg
2022-10-31 20:43:18+00:00,Makamo10,"@AbroadTanzania BILA KUMTAJA MAGUFULI .. kisufuria KINAWASHA ..... 

MAGUFULI alipokea pesa zilizokuwa zinakuja kwa kawaida miaka yote ikiwemo wa BOT  COVID uliletwa .. ya kuomba kama hivi walimnyima maana miradi yake ilikuwa tishio kwao ? WAZUNGU wanapenda hivi kukopa na KULA usifanye maendeleo"
2022-10-31 20:40:14+00:00,mlgstop007,@mardiaffandi89 @DokterTifa heee anda ini bloon... kalo tragedi Kanjuruhan itu mati Krn terinjak2 setelah ditembak gas air mata.... paham! bukan krn covid blokkk..
2022-10-31 20:39:33+00:00,Kochikecil,#covid #travel #repost #berita #wakboy guru dan murid di tembaki disekolah https://t.co/Hoj1LgDMqW
2022-10-31 20:39:33+00:00,SavarDian,#covid #travel #repost #berita #wakboy guru dan murid di tembaki disekolah https://t.co/e6eOqGIhDN
2022-10-31 20:39:27+00:00,AriniJav,situasi terkini covid 19 di selangor
2022-10-31 20:16:36+00:00,Polres_ME,"MELAKSANAKAN HIMBAUAN PROTOKOL KESEHATAN COVID-19 KEPADA MASYARAKAT KAB. MUARA ENIM
#sumsel
#presisi https://t.co/KqkZBWUu4V"
2022-10-31 20:09:36+00:00,januar_juna,#covid #travel #repost #berita #wakboy guru dan murid di tembaki disekolah https://t.co/hsC5nw2Icl
2022-10-31 20:08:19+00:00,ambubucin,Ini efek musim Pancaroba apa covid sih orang2 pada sakit gini 🤯🤯🤯
2022-10-31 20:05:00+00:00,shinywxrld,"ini bumi seleksi alam nya belum cukup apa sama covid kemarin😢

deep condolences🥀 https://t.co/thUAbiNAnt"
2022-10-31 20:00:01+00:00,RadioElshinta,"Update data uji PCR COVID-19 di Indonesia per tanggal 31 Oktober 2022 Pukul 12.00 WIB. via @BNPB_Indonesia

https://t.co/bxS9onMud3"
2022-10-31 19:57:23+00:00,tanganyika_m,"Sherehe za:
1. Kuzindua daraja wami
2. Kuzindua sensa dom
...then upcoming sherehe
3. Kufikisha population ya 61m
4. Kuzingua SGR
5. Kuzindua bwawa la mtera na ruvu yamejaa maji
6.Tumeshika nafasi ya 2 chanjo ya COVID-19
...zote izo hawachangishani ni PESA ZA😡...⚽️👨🏿‍🦯 https://t.co/Wyd9q49gSS"
2022-10-31 19:57:12+00:00,KangDimas17,"Sekali Lagi, Tentang Kapitalisme dan Pandemi Covid-19 - https://t.co/X7V9X4dEUr via @indoprogress"
2022-10-31 19:55:16+00:00,MalangCityExpo,"Kasus Covid-19 Tinggi, Kota Malang PPKM Level 4

https://t.co/jgdeKCMIOO"
2022-10-31 19:52:53+00:00,oktaaaaaaa___,@BebalBoy @catchmeupid covid belum selesai masih ada varian baru + kasusnya banyak tp emg udah ga terlalu diberitakan. Dan tiap tahun tanpa diramal juga banyak bencana wkwk
2022-10-31 19:48:48+00:00,voidotid,Gelombang kecil kasus COVID-19 terjadi menjelang masa kampanye pemilu ke-15 Malaysia sehingga Kementerian Kesehatan negara itu mengingatkan para pengurus partai politik dan calon... https://t.co/bE99VRPrmr
2022-10-31 19:45:53+00:00,fahaum1,@Ravispa12 Kalo karena covid itu bakal ada anggaran yang ngalir
2022-10-31 19:44:26+00:00,SINDOnews,"Kejar Kebijakan Nol-Covid-19, China Lockdown Jutaan Orang

 #Sindonews #BukanBeritaBiasa .https://t.co/NrzJ1dwfzW"
2022-10-31 19:41:11+00:00,TheAce1kka,@tarang5820 MKC covid ke bad ye hi bawasir h sab jagah
2022-10-31 19:40:56+00:00,amrizalsaragih,"Ketika pembatasan karna covid mulai dihilangkan, ternyata bener bener dapat mengurangi angka kematian karna covid"
2022-10-31 19:40:36+00:00,MikazuDarat25,"@Frederett_ Foto pas masih jaman covid aja yaa free, ini pas lagi ke kondangan Tante... https://t.co/LSEAON5EHb"
